"Bot";"StartTime";"EndTime";"RouteType";"TaskType"
91;201.3498999998;281.9582418352;"ROUTE_1";"OUTPUT"
91;281.9582418352;356.7954286411;"ROUTE_2";"OUTPUT"
86;235.8500000015;302.7656115145;"ROUTE_1";"OUTPUT"
86;302.7656115145;357.95576974;"ROUTE_2";"OUTPUT"
14;235.3498999961;297.6060355566;"ROUTE_1";"OUTPUT"
14;297.6060355566;358.748992864;"ROUTE_2";"OUTPUT"
50;246.3319000006;296.2603247352;"ROUTE_1";"INPUT"
50;296.2603247352;359.3259300366;"ROUTE_2";"INPUT"
3;210.5998999998;303.6708986536;"ROUTE_1";"INPUT"
3;303.6708986536;359.3838393018;"ROUTE_2";"INPUT"
48;235.5999999978;303.7267087922;"ROUTE_1";"INPUT"
48;303.7267087922;362.6676741876;"ROUTE_2";"INPUT"
20;217.7896999978;310.9924719669;"ROUTE_1";"INPUT"
20;310.9924719669;365.0530734584;"ROUTE_2";"INPUT"
77;269.6000000015;306.0638265945;"ROUTE_1";"OUTPUT"
77;306.0638265945;365.1608436555;"ROUTE_2";"OUTPUT"
45;235.6000000015;311.8561304472;"ROUTE_1";"OUTPUT"
45;311.8561304472;368.3537006341;"ROUTE_2";"OUTPUT"
75;212.1000000015;319.9731927924;"ROUTE_1";"INPUT"
75;319.9731927924;370.8304388411;"ROUTE_2";"INPUT"
70;234.0999999978;307.6803923436;"ROUTE_1";"OUTPUT"
70;307.6803923436;371.8059483059;"ROUTE_2";"OUTPUT"
64;232.8500000015;290.067511633;"ROUTE_1";"OUTPUT"
64;290.067511633;373.1000420004;"ROUTE_2";"OUTPUT"
100;247.6414000019;302.8121282831;"ROUTE_1";"OUTPUT"
100;302.8121282831;373.1649384424;"ROUTE_2";"OUTPUT"
36;176.6308999993;316.4590000026;"ROUTE_1";"INPUT"
36;316.4590000026;373.895693779;"ROUTE_2";"INPUT"
103;280.1000000015;319.6464319751;"ROUTE_1";"OUTPUT"
103;319.6464319751;376.2321429178;"ROUTE_2";"OUTPUT"
8;193.8500000015;261.8958595246;"ROUTE_1";"OUTPUT"
8;261.8958595246;378.9089520089;"ROUTE_2";"OUTPUT"
60;266.5172000006;328.434558779;"ROUTE_1";"INPUT"
60;328.434558779;379.4114575274;"ROUTE_2";"INPUT"
93;201.3498999998;248.2879067287;"ROUTE_1";"OUTPUT"
93;248.2879067287;383.2700656578;"ROUTE_2";"OUTPUT"
83;217.7686999999;334.6949993186;"ROUTE_1";"INPUT"
83;334.6949993186;384.1560484394;"ROUTE_2";"INPUT"
72;249.3999999985;322.1752999984;"ROUTE_1";"INPUT"
72;322.1752999984;384.2969669253;"ROUTE_2";"INPUT"
51;213.3498999998;269.2743334472;"ROUTE_1";"OUTPUT"
51;269.2743334472;384.572462976;"ROUTE_2";"OUTPUT"
28;233.1000000015;300.1490013264;"ROUTE_1";"OUTPUT"
