task;level;bot;taskType;routeType;isTrimmed;startTime;endTime;time;stayAtFinal;mvc;slotTime;slotNr;platformArrival
1452;1;13;INPUT;ROUTE_1;false;588402.0;647000.0;58598.0;32400.0;20;545000;109;550000
1452;1;13;INPUT;ROUTE_2;false;647000.0;686337.0;39337.0;18000.0;20;NA;NA;NA
1377;1;16;INPUT;ROUTE_1;false;604072.0;647000.0;42928.0;24000.0;24;545000;109;550000
1377;1;16;INPUT;ROUTE_2;false;647000.0;683804.0;36804.0;18000.0;24;NA;NA;NA
1447;1;12;INPUT;ROUTE_1;false;606513.0;652000.0;45487.0;21285.0;56;550000;110;555000
1447;1;12;INPUT;ROUTE_2;false;652000.0;700126.0;48126.0;18000.0;56;NA;NA;NA
1468;1;10;INPUT;ROUTE_1;false;648952.0;672000.0;23048.0;17000.0;20;570000;114;575000
1468;1;10;INPUT;ROUTE_2;false;672000.0;704754.0;32754.0;18000.0;20;NA;NA;NA
1403;1;9;INPUT;ROUTE_1;false;656936.0;682000.0;25064.0;17000.0;56;580000;116;585000
1403;1;9;INPUT;ROUTE_2;false;682000.0;717779.0;35779.0;18000.0;56;NA;NA;NA
491;1;15;OUTPUT;ROUTE_1;false;643233.0;664846.0;21613.0;11488.0;72;NA;NA;NA
491;1;15;OUTPUT;ROUTE_2;false;664846.0;698000.0;33154.0;13000.0;72;690000;138;685000
1541;1;14;INPUT;ROUTE_1;false;728281.0;777000.0;48719.0;24000.0;24;675000;135;680000
1541;1;14;INPUT;ROUTE_2;false;777000.0;823268.0;46268.0;18000.0;24;NA;NA;NA
534;1;13;OUTPUT;ROUTE_1;false;697921.0;717104.0;19183.0;11758.0;4;NA;NA;NA
